song,artist,genre,year,nrgy,dnce,dB,live,val,acous,spch,pop,lyrics
STARSTRUKK (feat. Katy Perry),3OH!3, Pop,2010,81,61,-6,23,23,0,6,70,"nice legs, daisy dukes,
makes a man go...
that's the way they all come through like...
low-cut, see-through shirts that make ya...
that's the way she come through like...

'cause i just set them up,
just set them up,
just set them up to knock them down,
'cause i just set them up,
just set them up,
just set them to knock them down them down

i think i should know how
to make love to something innocent
without leaving my fingerprints out,
now, l-o-v-e's just another word
i never learned to pronounce,
how, do i say i'm sorry 'cause the word
is just never gonna come out,
now, l-o-v-e's just another word
i never learned to pronounce

tight jeans, double d's makin' me go...
all the people on the street know...
iced out, lit-up make the kids go...
all the people on the street know...

'cause i just set them up,
just set them up,
just set them up to knock them down,
'cause i just set them up,
just set them up,
just set them to knock them down them down

i think i should know how
to make love to something innocent
without leaving my fingerprints out,
now, l-o-v-e's just another word
i never learned to pronounce,
how, do i say i'm sorry 'cause the word
is just never gonna come out,
now, l-o-v-e's just another word
i never learned to pronounce

you know that type of shit just don't work on me
whistlin', trying to flirt with me
don't take it personally
'cause we were never in love
it doesn't really matter who you say you are
singing out the window of your car
find another girl across bar
'cause l-o-v-e's not what this was

i think i should know how
to make love to something innocent
without leaving my fingerprints out,
now, l-o-v-e's just another word
i never learned to pronounce,
how, do i say i'm sorry 'cause the word
is just never gonna come out,
now, l-o-v-e's just another word
i never learned to pronounce"
My First Kiss (feat. Ke$ha),3OH!3, Pop,2010,89,68,-4,36,83,1,8,68,"My first kiss went a little like this
and twist and twist

Well my first kiss went a little like this
and twist and twist

I said no more teachers and no more books
I got a kiss under the bleachers hopin' that nobody looked
Lips like licorice, tongue like candy
Excuse me miss, but can I get you out your panties?

In the back of the car
On the way to the bar
I got you on my lips (I got you on my lips)
At the foot of the stairs
With my fingers in your hair, baby this is it...

She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooooooooooooooh
Ooooooooooooooh
She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooooooooooooooh
Ooooooooooooooh

My first kiss went a little like this...

I said no more sailors and no more soldiers
With your name in a heart tattooed upon their shoulders
Kisses like whiskey, it gets me drunk
And I wake up in the morning with the taste of your tongue

In the back of the car
On the way to the bar
I got you on my lips (I got you on my lips)
At the foot of the stairs
With my fingers in your hair, baby this is it...

She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooooooooooooooh
Ooooooooooooooh
She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooooooooooooooh
Ooooooooooooooh

My first kiss went a little like this
and twist and twist
Well my first kiss went a little like this
and twist and twist

Yeah, she won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say...

Ooooooooooooooh

She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooooooooooooooh
Ooooooooooooooh
She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooooooooooooooh
Ooooooooooooooh

She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say...
My first kiss went a little like this
and twist and twist

Well my first kiss went a little like this
and twist and twist

I said no more teachers and no more books
I got a kiss under the bleachers hopin' that nobody looked
Lips like licorice, tongue like candy
Excuse me miss, but can I get you out your panties?

In the back of the car
On the way to the bar
I got you on my lips (I got you on my lips)
At the foot of the stairs
With my fingers in your hair, baby this is it...

She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooooooooooooooh
Ooooooooooooooh
She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooooooooooooooh
Ooooooooooooooh

My first kiss went a little like this...

I said no more sailors and no more soldiers
With your name in a heart tattooed upon their shoulders
Kisses like whiskey, it gets me drunk
And I wake up in the morning with the taste of your tongue

In the back of the car
On the way to the bar
I got you on my lips (I got you on my lips)
At the foot of the stairs
With my fingers in your hair, baby this is it...

She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooooooooooooooh
Ooooooooooooooh
She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooooooooooooooh
Ooooooooooooooh

My first kiss went a little like this
and twist and twist
Well my first kiss went a little like this
and twist and twist

Yeah, she won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say...

Ooooooooooooooh

She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooooooooooooooh
Ooooooooooooooh
She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooooooooooooooh
Ooooooooooooooh

She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say...
My first kiss went a little like this
Mwah mwah and twist
Mwah mwah and twist

Well my first kiss went a little like this
And twist
And twist

I said no more teachers
And no more books
I got a kiss under the bleachers
Hoping that nobody looked
Lips like licorice
Tongue like candy
Excuse me miss but can I get you out your panties

In the back of the car,
on the way to the bar
I got you on my lips
(I got you on my lips)
At the foot of the stairs
With my fingers in your hair
Baby, this is it

She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooh, ooh
She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooh, ooh

My first kiss went a little like this

I said no more sailors and no more soldiers
With your name in a heart tattooed up on the shoulders
Your kiss is like whiskey, it gets me drunk
And I wake up in the morning with the taste of your tongue

In the back of the car on the way to the bar
I got you on my lips
(I got you on my lips)
At the foot of the stairs
With my fingers in your hair
Baby, this is it

She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooh, ooh
She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooh, ooh

My first kiss went a little like this
And twist, and twist
Well, my first kiss went a little like this
And twist
And twist

Yeah, she won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooh,

She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooh, ooh
She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say
Ooh, ooh

She won't ever get enough
Once she gets a little touch
If I had it my way
You know that I'd make her say"
I Need A Dollar,Aloe Blacc, R&B,2010,48,84,-7,9,96,20,3,72,"I need a dollar dollar, a dollar is what I need
Hey hey
Well I need a dollar dollar, a dollar is what I need
Hey hey
And I said I need dollar dollar, a dollar is what I need
And if I share with you my story would you share your dollar with me

Bad times are comin' and I reap what I don't sow
Hey hey
Well let me tell you somethin' all that glitters ain't gold
Hey hey
It's been a long old trouble long old troublesome road
And I'm looking for somebody come and help me carry this load

I need a dollar dollar, a dollar is what I need
Hey hey
Well I need a dollar dollar, a dollar is what I need
Well I don't know if I'm walking on solid ground
Cause everything around me is falling down
And all I want - is for someone - to help me

I had a job but the boss man let me go
He said
I'm sorry but I won't be needing your help no more
I said
Please mister boss man I need this job more than you know
But he gave me my last paycheck and he sent me on out the door

Well I need a dollar dollar, a dollar is what I need
Hey hey
Said I need a dollar dollar, a dollar is what I need
Hey hey
And I need a dollar dollar, a dollar is what I need
And if I share with you my story would you share your dollar with me
Well I don't know if I'm walking on solid ground
Cause everything around me is crumbling down
And all I want is for someone to help me

What in the world am I gonna to do tomorrow
Is there someone whose dollar that I can borrow
Who can help me take away my sorrow
Maybe its inside the bottle
Maybe its inside the bottle
I had some good old buddy his names is whiskey and wine
Hey hey
And for my good old buddy I spent my last dime
Hey hey
My wine is good to me it helps me pass the time
And my good old buddy whiskey keeps me warmer than the sunshine
Hey Hey
Your mom of mayhem just a child has got his own
Hey Hey
If god has plans for me I hope it ain't, written in stone
Hey Hey
Because I've been working working myself down to the bone
And I swear on grandpas grave I'll be paid when I come home
Hey Hey

Well I need a dollar dollar, a dollar is what I need
Hey hey
Said need a dollar dollar, a dollar is what I need
Hey hey
Well I need a dollar dollar, a dollar is what I need hey hey
And if I share with you my story would you share your dollar with me
Come on share your dollar with me
Go ahead share your dollar with me
Come on share your dollar give me your dollar
Share your dollar with me
Come on share your dollar with me"
Airplanes (feat. Hayley Williams of Paramore),B.o.B, Rap/Hip-Hop,2010,87,66,-4,4,38,11,12,80,"Can we pretend that airplanes in the night sky are like shootin' stars I could really use a wish right now, wish right now, wish right now
Can we pretend that airplanes in the night sky are like shootin' stars
I could really use a wish right now, wish right now, wish right now

Yeah, yeah I could use a dream or a genie or a wish
To go back to a place much simpler than this
Cause after all the partying and smashing and crashing
And all the glitz and glam and the fashion
And all the pandemonium and all the madness
There comes a time when you fade to the blackness
And when you're staring at the phone in your lap
And you hoping but them people never call you back
But that's just how the story unfolds
You get another hand soon after you fold
And when your plans unravel in the sand
What would you wish for, if you had one chance?
So airplane airplane sorry I'm late
I'm on my way so don't close that gate
If I don't make that then I'll switch my flight and
I'll be right back at it by the end of the night

Can we pretend that airplanes in the night sky are like shootin' stars
I could really use a wish right now, wish right now, wish right now
Can we pretend that airplanes in the night sky are like shootin' stars
I could really use a wish right now, wish right now, wish right now

Yeah yeah somebody take me back to the days
Before this was a job before I got paid
Before it ever mattered what I had in my bank
Yeah back when I was trying to get a tip at subway
And back then I was rapping for the hell of it
But nowadays we rapping to stay relevant
I'm guessing if can make some wishes out of airplanes
Then maybe oh maybe I'll go back to the days
Before the politics that we call the rap game
And back when ain't nobody listened to my mix tape
And back before when I tried to cover up my slang
But this is for the Decatur what's up Bobby Ray
So can I get a wish to end the politics
And get back to the music that started this shit
So here I stand and then again I say
I'm hoping we can make some wishes outta airplanes

Can we pretend that airplanes in the night sky are like shootin' stars
I could really use a wish right now, wish right now, wish right now
Can we pretend that airplanes in the night sky are like shootin' stars
I could really use a wish right now, wish right now, wish right now

I could really use a wish right now
I, I, I could really use a wish right now
Like, like, like shootin' stars
I, I, I could really use a wish right now
A wish a wish right now"
Nothin' on You (feat. Bruno Mars),B.o.B, Rap/Hip-Hop,2010,85,69,-6,9,74,39,5,79,"Beautiful girls all over the world
I could be chasing but my time would be wasted
They got nothin' on you baby
Nothin' on you baby

They might say hi and I might say hey
But you shouldn't worry about what they say
'Cause they got nothin' on you baby
Nothin' on you baby

No' no' no' nothin' on you babe
No' no' nothin' on you
I know you feel where I'm coming from
Regardless of the things in my past that I've done
Most of it really was for the hell of the fun
On the carousel so around I spun (Spun)
With no directions just tryna get some (Some)
Tryna chase skirts, living in the summer sun (Sun)
An' so I lost more than I had ever won
And honestly I ended up with none

There's so much nonsense
It's on my conscience
I'm thinking baby I should get it out
And I don't wanna sound redundant
But I was wondering, if there was something that you wanna know
(That you wanna know)
But never mind that we should let it go (We should let it go)
'Cause we don't wanna be a t.v episode (T.V. episode)
And all the bad thoughts just let them go (Go, go, go)

Beautiful girls all over the world
I could be chasing but my time would be wasted
They got nothin' on you baby
(No' no' no' nothin' on you babe)
(No' no' nothin' on you)
Nothin' on you baby
(No' no' no' nothin' on you babe)
(No' no' nothin' on you)
They might say hi (hi) and I might say hey (Hey)
But you shouldn't worry about what they say
'Cause they got nothin' on you baby
(No' no' no' nothin' on you babe)
(No' no' nothin' on you)
Nothin' on you baby
(No' no' no' nothin' on you babe)
(No' no' nothin' on you)

Hands down there will never be another one
I been around and I never seen another one
Because your style I ain't really got nothin' on
And you wow when you got nothin' on?
Baby you the whole package plus you pay your taxes
And you keep it real while them other stay plastic
You're my Wonder Women call me Mr. Fantastic
Stop, now think about it

I've been to London, I've been to Paris
Even way out there in Tokyo
Back home down in Georgia to New Orleans
But you always steal the show (steal the show)
And just like that girl you got a fro (Got a fro)
Like a Nintendo 64 (64)
If you never knew well now you know (Know, know, know)

Beautiful girls all over the world (All over)
I could be chasing but my time would be wasted (Haha)
They got nothin' on you baby
(No' no' no' nothin' on you babe)
(No' no' nothin' on you)
Nothin' on you baby
(No' no' no' nothin' on you babe)
(No' no' nothin' on you)
They might say hi (hi) and I might say hey (Hey)
But you shouldn't worry about what they say (Why?)
'Cause they got nothin' on you baby
(No' no' no' nothin' on you babe)
(No' no' nothin' on you)
Nothin' on you baby
(No' no' no' nothin' on you babe)
(No' no' nothin' on you)

Everywhere I go I'm always hearing your name (Name, name)
And no matter where I'm at girl you make me wanna sing (Sing)
Whether a bus or a plane (plane) or a car or a train (Train)
No other girls in my brain and you the one to blame (Blame)

Beautiful girls all over the world (All over)
I could be chasing but my time would be wasted (Why?)
They got nothin' on you baby
(No' no' no' nothin' on you babe)
(No' no' nothin' on you)
Nothin' on you baby
(No' no' no' nothin' on you babe)
(No' no' nothin' on you)
They might say hi (hi) and I might say hey (Hello)
But you shouldn't worry about what they say (Why?)
'Cause they got nothin' on you baby
(No' no' no' nothin' on you babe)
(No' no' nothin' on you)
Nothin' on you baby
(No' no' no' nothin' on you babe)
(No' no' nothin' on you)

Yeah and that's just how we do it, ha ha
And I'ma let this ride
B-O-B and Bruno Mars"
Magic (feat. Rivers Cuomo),B.o.B, Rap/Hip-Hop,2010,93,55,-4,35,79,1,34,71,"Hi, my name is Bob, and I approve this message

I got the magic in me
Every time I touch that track it turns into gold
Everybody knows I've got the magic in me
When I hit the floor the girls come snappin' at me
Now everybody wants a blast of

Magic, magic, magic
Magic, magic, magic
Magic, magic, magic
Ah ooh
I got the magic in me!

These tricks that I'll attempt will blow your mind
Pick a verse, any verse, I'll hypnotize you every line
I'll need a volunteer, how about you, with the eyes?
Come on down to the front, and stand right here and don't be shy
I'll have you time-travellin', have your mind babblin'
People tryna inherit the skill so they askin' me
Even David Blaine had to go and take some classes, and
I see Mindfreak like, ""What's up man, what's happenin'?""
So come one, come all, and see the show tonight
Prepare to be astounded, no Ghost or Poltergeist
You know I'm no Pinocchio, I've never told a lie
So call me Mr. Magic Man, I float on Cloud 9

I got the magic in me (I got the magic, baby)
Every time I touch that track it turns into gold (Yes it turns to gold)
Everybody knows I've got the magic in me (I got the magic, baby)
When I hit the floor the girls come snappin' at me (They be snappin' baby)
Now everybody wants a blast of

Magic, magic, magic
Magic, magic, magic
Magic, magic, magic
Ah ooh
I got the magic in me!

We'll take a journey into my mind
You'll see why it's venom I rhyme
Stay on the road, so I call my mama when I got time
I hit the stage, go insane, then jump into that crowd
See, see, when I rhyme I flow on the beat like pidda-dow-dow
See I deceive you with my intergalactic ether
I sing just like Aretha, so respect me like I'm Caesar
I kick it like Adidas, flowin' sticky like adhesive
Be cautious, 'cause what I be on'll leave you with amnesia
I break all the rules like Evel Knievel
It's a spectacular show, 'cause my heart pumps diesel
So whatever you saying, it don't entertain my ego
I do this everyday, Hocus Pocus is my steelo

I got the magic in me (I got the magic, baby)
Every time I touch that track it turns into gold (Yes it turns to gold)
Everybody knows I've got the magic in me (I got the magic, baby)
When I hit the floor the girls come snappin' at me (They be snappin' baby)
Now everybody wants a blast of

Magic, magic, magic
Magic, magic, magic
Magic, magic, magic
Ah ooh
I got the magic in me!"
The Time (Dirty Bit),Black Eyed Peas, Pop/Electronic/Dance,2010,81,82,-8,60,44,7,7,75,"I had the time of my life
And I've never felt this way before
And I swear this is true
And I owe it all to you

Oh I had the time of my life
And I've never felt this way before
And I swear this is true
And I owe it all to you
You-you-you-you-you
You-you-you-you-you
You-you-you-you-you-you-y-y-y-y-you
Dirty bit

Dirty bit

I-I came up in here to rock
Light a fire, make it hot
I don't wanna take no pictures
I just wanna take some shots
So come on, let's go
Let's lose control
Let's do it all night
'Til we can't do it no more

People rockin' to the sound
Turn it up and watch it pound
We gon' rock it to the top
Until the roof come burnin' down
Yeah, it's hot in here
The temperature
Has got these ladies
Gettin' freakier

I got freaky, freaky, baby
I was chillin' with my ladies
I didn't come to get bougie
I came here to get crazy
I was born to get wild
That's my style
If you didn't know that
Well, baby, now you know now

'Cause I'm
Havin'
A good Time
With you
I'm tellin' you

I had the time of my life
And I've never felt this way before
And I swear this is true
And I owe it all to you

Oh I had the time of my life
And I've never felt this way before
And I swear this is true
And I owe it all to you
You-you-you-you-you
You-you-you-you-you
You-you-you-you-you-you-y-y-y-y-you
Dirty bit

Dirty bit

All-all these girls, they like my swagger
They callin' me Mick Jagger
I be rollin' like a Stone
Jet-setter, jet-lagger
We ain't messin' with no maggots
Messin' with the baddest
Chicks in the club
Honey, what's up?

Mirror, mirror on the wall
Who's the baddest of them all?
Yeah, it's gotta be the Apl
I'm the mack daddy, y'all
Haters better step back
Ladies (don't load your act)
I'm the party application
Rockin' just like that

(This is international)
(Big mega radio smasher)

'Cause I'm
Havin'
A good Time
With you
I'm tellin' you

I-I-I-I had
The time of my li-I-ife
And I've never felt this way before-fore
And I swear-wear
This is tru-u-ue
And I owe it all to you-ou

Oh, I-I-I-I had
The time of my li-I-I-ow
And I've never felt this way before-fore
And I swear-wear
This is tru-u-ue
And I owe it all to you-ou

I-I-I-I had
The time of my li-I-ife
And I've never felt this way before-fore
And I swear-wear
This is tru-u-ue
And I owe it all to you-ou

Oh, I-I-I-I had
The time of my li-I-I-ow
And I've never felt this way before-fore
And I swear-wear
This is tru-u-ue
And I owe it all to you-ou
Dirty bit

Welcome, this is the beginning
For every ending is mega starter
When they bring the dark we bring the light
Lets go"
Imma Be,Black Eyed Peas, Pop/Electronic/Dance,2010,52,60,-7,31,41,18,37,71,"I'mma be, I'mma be, I'mma I'mma I'mma be
I'mma be, I'mma be, I'mma I'mma I'mma be
I'mma be, I'mma be, I'mma I'mma I'mma be
I'mma be be be be I'mma I'mma be
I'mma be be be be I'mma I'mma be
I'mma be be be be I'mma I'mma be

I'mma be on the next level
I'mma be rocking over that bass tremble
I'mma be chilling with my motherfuckin' crew
I'mma be making all them deals you wanna do (ha)
I'mma be up in them A list flicks
Doin one handed flips, and I'mma be
Sipping on drinks cause
I'mma be shaking my hips
You goin' be licking your lips
I'mma be taking them pics
Lookin all fly and shit
I'mma be the fliest chick (so fly)
I'mma be spreading my wings
I'mma be doing my thing (do it do it, okay)

I'mma I'mma swing it this way, (I'mma I'mma) I'mma I'mma swing it that-a way
This is freaky Fergie, and I'mma (I'mma) be here to say
21st century til infinity

I'mma be, I'mma be, I'mma I'mma I'mma be
I'mma be, I'mma be, I'mma I'mma I'mma be

Rich baby what what I'mma I'mma I'mma be
The shit baby check me out be
I'mma be, I'mma be
On top, never stop (be be)
I'mma be, I'mma be, I'mma I'mma I'mma be
I'mma be, freakin' her
I'mma I'mma I'mma be, I'mma be be be I'mma I'mma be

I'mma be the upgraded new negro
I'mma be the average brother with soul
I'mma be world wide international
I'mma be in Rio rocking Tokyo
I'mma be brilliant with my millions
Loan out a billion, I get back a trillion
I'mma be a brother, but my name ain't Lemen
I'mma be ya banker loading out semen
Honeys in debt, but we bouncing them checks but,
I don't really mind when they bouncing them checks
I'mma be, I'mma be I'mma be I'mma be Rich
I'mma be, I'mma I'mma be I'mma I'mma be
I'mma be sick with the flow
When the goal is to rock the whole globe
I'mma be the future
I'mma be the whole, reason why you niggas come to a show
You can see what I'm rockin'
And I'm kickin' down a door

I'mma be up in the club
Doin' whatever I like
I'mma be popping that bubbly
Coolin' and living that good life
Oh let's make this last forever
Partying and we'll chill together

On and on and on and on and
On and on and on and on and

I'mma be rocking like this (What)
Y'all niggas wanna talk shit (But)
Wanting you put it on the blog (nigga)
Rocking like this my job (nigga)
We can't help that we popular
And all these folks want to flock to us
Come to a show and just rock with us
A million plus with binoculars

I'mma be, I'mma be, I'mma be, I'mma be
I'mma be living that good life
I'mma be living that good good
I'mma be, I'mma be, I'mma be, I'mma be
I'mma be living that good life
I'mma be living that good good
I'mma be, I'mma be, I'mma be, I'mma be
I'mma be living that good life
I'mma be living that good good
I'mma be, I'mma be, I'mma be, I'mma be
I'mma be living that good life
I'mma be living that good good
I'mma be. I'mma be
I'mma be, I'mma be, I'mma be, I'mma be

I'mma be, rocking that Apl.de.ap infinite
B-E-P we definite
We on some next level shit
Futuristic musically
Power will full with energy
From the soul we sonically
Sending positivity
Crossed the globe, and seven seas
Take care our families
Rocking shows makin' cheese
I'mma be out with my peas
Living life, feeling free
That's how it's supposed to be
Come join my festivities
Celebrate like I'mma be

I'mma be, I'mma be, I'mma be, I'mma be
I'mma be, I'mma be, I'mma be, I'mma be
I'mma be, I'mma be, I'mma be, I'mma be"
Talking to the Moon,Bruno Mars, Pop,2010,59,50,-5,11,8,51,3,87,"I know you're somewhere out there
Somewhere far away
I want you back
I want you back
My neighbors think I'm crazy
But they don't understand
You're all I have
You're all I have

At night when the stars
Light up my room
I sit by myself
Talking to the moon
Tryin' to get to you
In hopes you're on
The other side
Talking to me too
Or am I a fool
Who sits alone
Talking to the moon

Oh

I'm feeling like I'm famous
The talk of the town
They say I've gone mad
Yeah I've gone mad
But they don't know what I know

'Cause when the sun goes down
Someone's talking back
Yeah they're talking back

At night when the stars
Light up my room
I sit by myself
Talking to the moon
Tryin' to get to you
In hopes you're on
The other side
Talking to me too
Or am I a fool
Who sits alone
Talking to the moon

(Ah, ah, ah)

Do you ever hear me calling?
(Ah) oh oh oh
(Ah) oh oh oh
'Cause every night
I'm talking to the moon
Still trying to get to you

In hopes you're on
The other side
Talking to me too
Or am I a fool
Who sits alone
Talking to the moon

I know you're somewhere out there
Somewhere far away"
Just the Way You Are,Bruno Mars, Pop,2010,84,64,-5,6,42,1,4,86,"Oh, her eyes, her eyes make the stars look like they're not shinin' 
Her hair, her hair falls perfectly without her trying
She's so beautiful and I tell her everyday
Yeah, I know, I know when I compliment her she won't believe me
And it's so, it's so sad to think that she don't see what I see
But every time she asks me ""Do I look okay?""
I say

When I see your face
There's not a thing that I would change 'cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause girl you're amazing
Just the way you are
Yeah

Her lips, her lips, I could kiss them all day if she'd let me
Her laugh, her laugh she hates but I think it's so sexy
She's so beautiful, and I tell her everyday

Oh you know, you know, you know I'd never ask you to change
If perfect's what you're searching for then just stay the same
So don't even bother asking if you look okay, you know I'll say

When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are

The way you are
The way you are
Girl, you're amazing
Just the way you are

When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are

Yeah"
